mmsi,shipname,callsign,fleet_iso3,fleet_name,imo
273361900,AMEGA,UBLG2,RUS,Russia,8502793
273353800,CRYSTAL ATLANTICA,UBKG5,RUS,Russia,8509569
273358510,SIERRA,UAID,RUS,Russia,8216198
273367690,TORNADO,UBGM2,RUS,Russia,8404575
308572000,RUNAWAY BAY,C6PX2,BHS,The Bahamas,9019640
273384970,NOVIY SVET,UEOD,RUS,Russia,8509557
312900000,NOVIYSVET,V3NM,BLZ,Belize,8509557
341307000,NOVIY SVET,V4OQ2,KNA,Saint Kitts and Nevis,8509557
341307007,NOVIY SVET,V4OQ2,KNA,Saint Kitts and Nevis,8509557
273434600,KOOPERATOR,UEZM,RUS,Russia,8729200
273441719,JUPITER,UDOW,RUS,Russia,7700116
273441727,JUPITER,UDOW,RUS,Russia,7700116
273511500,GIBRALTAR,UFNO,RUS,Russia,7642663
273815000,VLAD ORION,UAKG,RUS,Russia,8881357
515604000,OCEANDREAM,XUDP7,KHM,Cambodia,8834689
273844500,CAESAR,UCXC,RUS,Russia,8835968
677047700,AMINAH,5IM577,TZA,Tanzania,8818893
306862000,COPPENAME,PJYM,CUW,Cura ao,8807636
308743000,TAMA STAR,C6MA6,BHS,The Bahamas,8517358
636017010,NOVA STELLA,D5IW5,LBR,Liberia,8517358
310324000,TALCA,ZCBZ5,BMU,Bermuda,8616324
311009600,GREEN FREEZER,C6XH4,BHS,The Bahamas,8819304
311043800,GREEN AUSTEVOLL,C6YS6,BHS,The Bahamas,8819299
311040500,GREEN EGERSUND,C6YO8,BHS,The Bahamas,8804567
311289000,GREEN HONDURAS,C6WH8,BHS,The Bahamas,8912132
311449000,GREEN MUSIC,C6VY4,BHS,The Bahamas,8822595
636018009,REINA,D5NT7,LBR,Liberia,8202226
312379000,FRIO POSEIDON,V3YQ5,BLZ,Belize,8811687
371719000,DAFENG MARINER,3FIO6,PAN,Panama,8319031
312621000,ZHONG ZHOU 1,V3KS3,BLZ,Belize,9044358
312862000,NORMANDIC,V3OJ6,BLZ,Belize,8215936
351537000,RUI SHENG,3FOH6,PAN,Panama,8688755
351776000,MING HANG,3FIY4,PAN,Panama,8130837
529529000,CHAN HAN NO.6,T3DY2,KIR,Kiribati,7812074
352085000,HUA FU 107,3FDZ4,PAN,Panama,8518819
529120000,WIN UNI,T3MY,KIR,Kiribati,7302299
352199000,SEA TRADER I,HODS,PAN,Panama,8919893
352241000,TUNA PRINCESS,H3CN,PAN,Panama,9314612
352844000,JACHA,3EFC4,PAN,Panama,8512920
412322280,TAI NING,BBQR,CHN,China,8217116
374505000,ISLEMAN,3FWT,PAN,Panama,8814902
353982000,FRIO ATHENS,3FAX7,PAN,Panama,8710340
354240000,CRYSTAL REEFER,3FFY5,PAN,Panama,9017276
529604000,PS REEFER,T3HB2,KIR,Kiribati,8221947
354683000,EITA MARU,HPLA,PAN,Panama,9109287
576277000,SHIN IZU,YJQA5,VUT,Vanuatu,9186936
355966000,JOCHOH,3FTG5,PAN,Panama,9126261
356065000,SURUGA 1,H3OD,PAN,Panama,9109263
356514000,HAI FENG 618,3FHE6,PAN,Panama,9035084
357676000,ASIAN ADONIS,3FQG9,PAN,Panama,9196424
577122000,IBUKI,YJTD3,VUT,Vanuatu,9666481
440046000,SEIWA,DSMA2,KOR,South Korea,9021277
371100000,YUNG DA FA 101,HPQB,PAN,Panama,8508840
667004025,MIN TAI LENG,9LA2124,SLE,Sierra Leone,8627309
371565000,TAI XING,3EZQ5,PAN,Panama,8210273
576285000,HOUTA MARU,YJQD7,VUT,Vanuatu,9003158
576689000,ZEFYROS,YJQK7,VUT,Vanuatu,8916748
374445000,QI HANG,3EAT9,PAN,Panama,8609292
515777000,QIHANG,XUCT6,KHM,Cambodia,8609292
441725000,SEIN OCEAN,DSMN2,KOR,South Korea,8312461
416702000,SHENG HONG,BZLL,TWN,Taiwan,7920869
440196000,LAKE SUCCESS,D7MQ,KOR,South Korea,8702630
441723000,SEIN FRONTIER,D7AX,KOR,South Korea,9051789
529101000,HUA JIAN 1,T3MD,KIR,Kiribati,7908732
667003229,RUNJIU,9LY2426,SLE,Sierra Leone,9441960
529781000,ZHONG XIANG,D5LN5,LBR,Liberia,8814299
538002960,AMAGI,V7NH7,MHL,Marshall Islands,9170963
548352100,DANIELLA-T,4DEG6,PHL,Philippines,8217142
567046600,SILVER SEA LINE,HSBX,THA,Thailand,7804900
567231000,SILVERSEALINE3,HSB2993,THA,Thailand,7637589
576195000,LA MANCHE,YJVT7,VUT,Vanuatu,8226739
636017468,TENHO MARU,D5LC4,LBR,Liberia,9128764
616852000,GABU REEFER,D6FJ2,COM,Comoros,8300949
616885000,SOLARTE,D6FM9,COM,Comoros,8210285
636013146,ACONCAGUA BAY,A8KY9,LBR,Liberia,9019652
636013153,WHITNEY BAY,A8KZ8,LBR,Liberia,8911085
,CHANGFENG,,KIR,Kiribati,8627309
,SEINSTAR,,MLT,Malta,8319029
,SPRINCESA,,THA,Thailand,7713228
,TAIS,,RUS,Russia,9101871
,TANGERINE88,,KHM,Cambodia,7931674
,WINDFROST,,LBR,Liberia,8807662
367187410,SELDOVIA,WDD7509,USA,United States,7308712
529614000,FOR SHINE 1,T3HM2,KIR,Kiribati,8891302
316008770,ROYKRISTIAN,LLKA,NOR,Norway,9237591
412203940,XIANYU2,BAMF,CHN,China,9279903
412206290,HUANG HAI MING ZHU,BASJ,CHN,China,9407433
5004,GANDIL,WDC5380,USA,United States,8034667
367632260,NOTORIOUS,WDH5866,USA,United States,7202061
367119930,NAKNEK SPIRIT,WDF7411,USA,United States,
367124290,CAPE DENBIGH,WDC3659,USA,United States,8332136
367171480,DECEPTION,WDD6334,USA,United States,8851467
367302960,BRUIN BAY,WDD8804,USA,United States,
367348005,HARMONY I,WDE4075,USA,United States,7917666
257162000,BLUETRANS,LLBB,NOR,Norway,9220835
273847300,VALENTIN,UIEX,RUS,Russia,8724418
412276434,LURONGYUYUN56219,BBFS,CHN,China,
200001140,FU YUAN YU F86,BZ1UR,CHN,China,8798419
210631000,FRIO FORWIN,5BWC3,CYP,Cyprus,9076260
210966000,BALTIC FORWARD,P3BI4,CYP,Cyprus,8509533
229382000,SIERRA MEDOC,9HA3287,MLT,Malta,9076246
352786000,SIERRAMEDOC,3FRE3,LBR,Liberia,9076246
356728000,DON REEFER,3ETB8,PAN,Panama,9035072
306117000,SIERRALAUREL,PJBQ,ANT,Netherlands Antilles,9163403
249665000,GREEN GLACIER,9HCJ5,MLT,Malta,9004401
341889000,NOVA CALEDONIA,V4WD2,KNA,Saint Kitts and Nevis,8518807
636016998,GREEN CONCORDIA,D5IV3,LBR,Liberia,9011038
273353310,NADEZHDA,UBMZ,RUS,Russia,7809106
273312280,KOMETA,UFRO,RUS,Russia,8422711
273313840,AKASHIYA,UHOJ,RUS,Russia,7908562
273330280,POLTAVA,UEEJ,RUS,Russia,9175286
273352700,CORONA REEFER,UIAE,RUS,Russia,9004358
273356010,SIVUCH,UBMG8,RUS,Russia,7723027
273356290,VITALIY SHMYKOV,UBOJ9,RUS,Russia,8710352
352367000,FRIO SEVASTOPOLIS,3EUP9,PAN,Panama,8860432
355658000,GRACE II,3EFI6,PAN,Panama,9061899
273383970,BOSFOR VOSTOCHNY,UEXJ,RUS,Russia,9010785
273394490,CRYSTAL ASIA,UDSR,RUS,Russia,9053957
636091465,PRINCEOFSTREAM,A8OE7,LBR,Liberia,9073268
356517000,ASIAN COSMOS,3FLM8,PAN,Panama,9172698
636009737,FRIO IONIAN,ELPE2,LBR,Liberia,9014793
341099000,ATLANTIC LADY,V4JY2,KNA,Saint Kitts and Nevis,8500630
273421246,ANTON GURIN,UERJ,RUS,Russia,8723402
273435310,BASKUNCHAKSKIY,UBAZ,RUS,Russia,8723311
273440863,KATRAN,UERV,RUS,Russia,8727343
273449760,PLUTONAS,UERU,RUS,Russia,7808322
273812060,TRIADA,UFKE,RUS,Russia,9101869
723814050,OZERSK,UHWR,RUS,Russia,8226973
371210000,RAINFROST,3EGY7,PAN,Panama,8521804
273842700,AMAYAN,UDKC,RUS,Russia,8858544
273875400,IRTYSH,UGCQ,RUS,Russia,8724420
374115000,SEA GLORY II,3FKX4,PAN,Panama,9009695
277348000,CAPELLA,LYSG,LTU,Lithuania,9047257
306796000,BREIZ KLIPPER,PJQV,CUW,Cura ao,8917211
308228000,GREEN OCEAN,C6VY8,BHS,The Bahamas,9001916
577324000,SEA PEARL,YJUT4,VUT,Vanuatu,9008639
311009700,GREEN CRYSTAL,C6XH5,BHS,The Bahamas,8920995
334667000,PRECIOUS9,HQXQ2,HND,Honduras,7811513
341095000,SUNNY LISA,V4JW2,KNA,Saint Kitts and Nevis,7359278
351763000,SHIN HANG,3FRT,PAN,Panama,8214839
351817000,WHITE DOLPHIN,3EVO6,PAN,Panama,8807430
440214000,SEIN QUEEN,D7MY,KOR,South Korea,8807430
352351000,AVUNDA REEFER,3EJD5,PAN,Panama,9072824
577106000,HARIMA 2,YJTB3,VUT,Vanuatu,9133317
353937000,SANWA FONTAINE,3FMK4,PAN,Panama,8204121
354102000,RYOMA,H3IZ,PAN,Panama,9133305
354617000,DA PING 1,H8TO,PAN,Panama,8011029
354667000,ORIONS,3FTH4,PAN,Panama,8513869
355855000,MONTELAURA,3FRF5,PAN,Panama,7625500
374830000,SEIN GRACE,3EFA6,PAN,Panama,8609979
357788000,MIYABI,3FTI9,PAN,Panama,8808252
370981000,ANGEL I,HOYH,PAN,Panama,8223488
577167000,TAISEI MARU 15,YJTJ8,VUT,Vanuatu,8710728
577168000,TAISEI MARU 15,YJTJ8,VUT,Vanuatu,8710728
371785000,TALOFA,3FKN7,PAN,Panama,8223311
372199000,GIRALDACARRIER,3FTJ4,PAN,Panama,8609981
372199000,SEIN PRINCESS,3FTJ4,PAN,Panama,8609981
373731000,FRIOANTARCTIC1,3FDB6,PAN,Panama,8807466
374045000,HAI SHUN 158,HP6825,PAN,Panama,9011911
576270000,HIKARI 1,YJVY7,VUT,Vanuatu,9293313
374321000,IRIS REEFER,3FGM3,PAN,Panama,8513039
412439619,YONG FA YUN 10,BZW5B,CHN,China,9787716
412439759,YONG FA YUN 12,BZW6B,CHN,China,9797527
416085900,CHEN YU NO.7,BZLY,TWN,Taiwan,7930175
416788000,CHANG CHING NO.1,BZFN,TWN,Taiwan,6908113
538002997,MONONOK,V7NP9,MHL,Marshall Islands,8911607
440237000,OCEANUS,D7NG,KOR,South Korea,9194919
441034000,SUN FLOWER 7,DSPI5,KOR,South Korea,8513871
518100019,UNION ONE,E5U2964,COK,Cook Islands,7809390
515887000,KAMANGA,XUJW9,KHM,Cambodia,7614812
529354000,HUA JIAN 107,T3XR,KIR,Kiribati,8421298
567011500,SILVER SEA LINE 2,HSCY2,THA,Thailand,7727114
576420000,VICTORIA,YJQE9,VUT,Vanuatu,9140097
576687000,FUTAGAMI,YJQJ8,VUT,Vanuatu,9105293
576728000,LUNG YUIN,YJQP3,VUT,Vanuatu,9048603
627084000,VOLTAVICT,9GRG,GHA,Ghana,9140102
636013148,EVEREST BAY,A8KZ3,LBR,Liberia,8911073
636018457,PRINCE OF SEAS,A8JI5,LBR,Liberia,9014444
412699340,FUYUANYUF88,,CHN,China,
,NORCAPE,,KNA,Saint Kitts and Nevis,8800224
,SERVIS,,VCT,Saint Vincent and the Grenadines,7368621
356567000,SOC GLORY,3ELL9,PAN,Panama,9815305
514087000,HAI TONG DA,XUGT4,KHM,Cambodia,8426913
529624000,FRIENDSHIP,T3HX2,CHN,China,8936061
,TENGYUAN,,CHN,China,9211523
412672930,ZHE LENG 7,BKAE5,CHN,China,9025649
367098030,KONA KAI,WBS9245,USA,United States,8852667
273382220,BLUETRANS,UBAO2,RUS,Russia,9220835
273846410,TESEY,UDBO,RUS,Russia,9081526
273898210,ABINSK,UGML,RUS,Russia,7832701
667006086,NIKOLAYUSTINOV,9LC2179,SLE,Sierra Leone,9500326
412455820,JINCHENGXING7,BVEK,CHN,China,
431008827,KAIKOMARU81,JD4127,JPN,Japan,
412440493,FUYUANYULENG999,,CHN,China,
,LU RONG YUAN YU YUN 168,,CHN,China,9736339
334674000,WISDOMSEAREEFER,HQXQ4,HND,Honduras,7637527
273374170,FRIO VLADIVOSTOK,UBJN2,RUS,Russia,9175274
212857000,BELBEK,P3MG8,CYP,Cyprus,9140970
272523000,KORSUN,UUCW,UKR,Ukraine,8036079
244820009,SIERRA LARA,PCOZ,NLD,Netherlands,9120205
245317000,COOL EXPRESO,PDKK,NLD,Netherlands,9085479
245409000,PACIFIC,PGQI,NLD,Netherlands,9127928
273312180,DIREKTOR,UBLE5,RUS,Russia,8306606
273316230,BALYUZEK,UBWH,RUS,Russia,8518895
273319440,GREEN TUNDRA,UGNI,RUS,Russia,8512011
273330281,POLTAVA,UEEJ,RUS,Russia,9175286
273330301,POLTAVA,UEEJ,RUS,Russia,9175286
273348520,PAVLOVSK,UBZE3,RUS,Russia,8613542
273349530,PETR RIKORD,UBFG2,RUS,Russia,8609163
352055000,ARKADIJA,3EHJ9,PAN,Panama,9057393
273352574,PYOTR ILICHYOV,UCMP,RUS,Russia,9082178
273352575,PYOTR ILICHYOV,UCMP,RUS,Russia,9082178
671641000,MARS,5VDP4,TGO,Togo,7723027
273356760,HATSUKARI,UBOI9,RUS,Russia,9054858
354408000,CAPTAINMOKEEV,3FAO8,PAN,Panama,9081667
273359934,TAVRIA,UBIH4,RUS,Russia,8826759
273385137,URGULL,UBZN7,RUS,Russia,8810190
353019000,FRIO CANARIAS,3FZW3,PAN,Panama,8502432
431472000,ORION,JATC,JPN,Japan,8520496
341091000,SUNNY LINA,V4JU2,KNA,Saint Kitts and Nevis,7826142
273398990,FRIO SAPFIR,UBFP5,RUS,Russia,9014793
373755000,FRIO IONIAN,3FUZ,PAN,Panama,9014793
273434010,MANGAZEYA,UFRI,RUS,Russia,7741108
273440895,KATRAN,UERV,RUS,Russia,8727343
273449510,GEOLOGPECHKUROV,UHYG,RUS,Russia,8842533
273449791,PLUTONAS,UERU,RUS,Russia,7808322
273557400,KAPITAN LAZAREV,UEAV,RUS,Russia,9016985
273811510,OSTROV KARAGINSKIY,UEVS,RUS,Russia,9159763
273820900,NADIR,UEVR,RUS,Russia,8724389
273825810,LUCHISTYY,UHTH,RUS,Russia,8035087
273848200,TATARSTAN,UCLX,RUS,Russia,7730159
370305000,MURCIA CARRIER,3FJZ2,PAN,Panama,9063665
355466000,FRIOCONFIDANZE,V3QW5,BLZ,Belize,7713242
312284000,QIANYUAN,V3KX2,BLZ,Belize,8819691
312413000,QIAO TAI,T3PM2,KIR,Kiribati,9677595
529758000,QIAO TAI,T3PM2,KIR,Kiribati,9677595
341244000,NOVAYA ZEMLYA,V4TT2,KNA,Saint Kitts and Nevis,8514796
314006000,LAPPONIAN REEFER,8PLJ,BRB,Barbados,8917534
319166000,ICE RIVER,ZCCT6,CYM,Cayman Islands,8311118
351350000,NO.2 JOCHOH,3FVR4,PAN,Panama,9698343
351493000,DROVER,HP7289,PAN,Panama,8210338
374030000,SYOTA MARU,H9NZ,PAN,Panama,9087908
372825000,CHAN HAN 6,3FJL9,PAN,Panama,7812074
636013523,MARINEPHOENIX,A8NM7,LBR,Liberia,9072824
440057000,OCEAN JIN,D7MH,KOR,South Korea,8904068
800022379,DINOK,HOAJ,PAN,Panama,8908234
352656000,NEW PROSPERITY,3FOZ8,PAN,Panama,9172442
529642000,MELTEMI,T3JR2,KIR,Kiribati,9172442
354463048,XING YUN,3FVB3,PAN,Panama,8203816
352796000,KHANA,3EYB6,PAN,Panama,8810645
354260000,FONG QUN,3EDM9,PAN,Panama,7920728
353670000,HARVESTS,HO7915,PAN,Panama,8223804
355141000,YUNG DA FA 102,3FEJ5,PAN,Panama,8323599
355802000,NEW TAKATSUKI,3EFN9,PAN,Panama,9015838
355813000,KAI CHENG,3FAA6,PAN,Panama,8021892
355874000,JONATHAN ACE,3FPM2,PAN,Panama,8221595
356636000,NO.1 BARON,3FMM7,PAN,Panama,8911619
356878000,SHINHANG6,3FOZ2,PAN,Panama,8318659
371118580,FONG KUO NO. 819,3FCY3,PAN,Panama,8913992
370890000,FORTUNA REEFER,3EVW4,PAN,Panama,7908770
529445000,TAI XING,T3AL2,KIR,Kiribati,8210273
372107000,FRIO OLYMPIC,3FTF9,PAN,Panama,8801802
636012261,FRIO OLYMPIC,A8EJ6,LBR,Liberia,8801802
440170000,OCEAN CHO,D7BO,KOR,South Korea,8906808
548541000,SEASONTRADER,DYDC,PHL,Philippines,9179402
373451000,ZEFYROS REEFER,3FPL2,PAN,Panama,8916748
373962000,ARACENA CARRIER,3FYV8,PAN,Panama,9179397
514957000,HAISUN158,XUCF6,KHM,Cambodia,9011911
374762000,LADY TUNA,3EQX2,PAN,Panama,9453418
412203740,TAI XIANG,BAPI,CHN,China,9005625
416567000,LIAN CHUAN SHENG NO.66,BEGE,TWN,Taiwan,7305722
416602000,SHUN TIAN FA NO.168,BZEJ,TWN,Taiwan,7323401
538002989,LAKE SUCCESS,V7NO8,MHL,Marshall Islands,8702630
576395000,YU HSIANG MARU,YJQE3,VUT,Vanuatu,9172909
441822000,KATAH,DSRG3,KOR,South Korea,9105360
529161000,HANYI2,T3PR,KIR,Kiribati,8024935
668052002,HENGXING1,9LY2623,SLE,Sierra Leone,8834421
567115000,FERNANDO,HSB2346,THA,Thailand,7116896
567231000,ASIAN MARINE REEFER,HSB2993,THA,Thailand,7637589
567817288,MISSOURI REEFER,HSB3203,THA,Thailand,7635878
576414009,TENHO MARU,YJQE5,VUT,Vanuatu,9128764
636018501,WATER PHOENIX,A8OE3,LBR,Liberia,9045168
636015542,LAGOON PHOENIX,A8OE4,LBR,Liberia,9047245
,GREENNOVA,,BHS,The Bahamas,9009669
,KRASKINO,,PAN,Panama,8906808
,LUNGYUIN,,PAN,Panama,9048603
,MAGELLANIC,,PAN,Panama,8814902
,NITAYAREEFER1,,HND,Honduras,6822553
,RYS,,RUS,Russia,8725694
354696000,MIG,HO3899,PAN,Panama,7302548
367545050,AKUTAN,WDG5284,USA,United States,5007510
677038700,HAITONGDA,5IM494,TZA,Tanzania,8426913
567005700,GRANDOCEANREEFER,HSDZ,THA,Thailand,6702715
636015529,IERAX,D5BH5,LBR,Liberia,
257237000,ROYKRISTIAN,LLKA,NOR,Norway,9237591
257715000,RONJA VIKING,LAKA,NOR,Norway,9364100
258571000,RONJA SUPERIOR,LALB,NOR,Norway,9421881
303643000,JENNIFER A,WDC9097,USA,United States,7937501
366688750,WESTWARD,WDC8769,USA,United States,7308322
366764080,CACHALOT,WB4937,USA,United States,7619771
367348340,HARMONY I,WDE4075,USA,United States,7917666
367656470,M & M,WDH8279,USA,United States,8852679
316007244,WESTERN COMMANDER,,CAN,Canada,
257659000,OYFJORD,LCYR,NOR,Norway,9646405
273814810,SELENITOVY,UFGP,RUS,Russia,7828712
412331177,LUWENYUANYUYUN888,BCFH,CHN,China,8785943
412420952,XINHAILENG6,BZV4S,CHN,China,8786791
412458510,JINCHENGXING7,BVEK,CHN,China,
431008347,DAISHIMARU11,JD4024,JPN,Japan,9782235
440116610,KWANGMYUNG111,DSF100,KOR,South Korea,8420957
548474200,DOLLY 767,DUL6372,PHL,Philippines,7824936
,EASTERNCOAST,,PHL,Philippines,8223983
636014564,AUXIS,3BSD,MUS,Mauritius,8819287
3530564,BAYPHOENIX,A8OE5,LBR,Liberia,9047271
636018500,BAY PHOENIX,A8OE5,LBR,Liberia,9047271
27331810,AFINA,UBIF5,RUS,Russia,8403363
374048000,SHIN HO CHUN NO. 101,3FRF9,PAN,Panama,9220653
412694950,FU YUAN YU F86,BZ1UR,CHN,China,8798419
341104000,FRIO VLADIVOSTOK,V4XE2,KNA,Saint Kitts and Nevis,9175274
341092000,AQUAMARINE,V4DO,KNA,Saint Kitts and Nevis,7719595
224434000,IZAR ARGIA,EHCB,ESP,Spain,8817801
355636000,PALOMA REEFER,HP7151,PAN,Panama,9309681
308735000,NOVA BRETAGNE,C6JI7,BHS,The Bahamas,9000364
357670000,SARONIC BREEZE,HOBH,PAN,Panama,9041540
636017251,SIERRA LAUREL,D5JZ8,LBR,Liberia,9163403
231792000,HARENGUS,OZ2168,FRO,Faroe Islands,8920983
311000709,SIERRA LEYRE,C6DL3,BHS,The Bahamas,9135822
636016700,GREEN GLACIER,D5HI8,LBR,Liberia,9004401
273151000,NADEZHDA,UBFZ,RUS,Russia,7809106
273210111,PAMYAT KIROVA,UFXA,RUS,Russia,8701040
273310759,GENNADIY VODOLAZSKIY,UHOU,RUS,Russia,9082180
371717000,HAI FENG 698,3FSJ2,PAN,Panama,8422711
273317370,MERCURY,UCGW,RUS,Russia,8216916
356986000,DESIGNER KNYSH,HPZK,PAN,Panama,9175286
273349567,PETR RIKORD,UBFG2,RUS,Russia,8609163
273350583,ARKADIJA,UBEJ2,RUS,Russia,9057393
273354620,MARINE STAR,UBFH2,RUS,Russia,8617770
273354770,CANARIAN REEFER,UBXI2,RUS,Russia,9081655
353585000,CANARIANREEFER,3FCC7,PAN,Panama,9081655
273356610,PROLIV LONGA,UBXG4,RUS,Russia,8136740
273358660,BUKHTA NATALII,UBNI6,RUS,Russia,7929786
273359933,TAVRIA,UBIH4,RUS,Russia,8826759
306511000,ANTILLA,PJJI,CUW,Cura ao,8812801
273385151,URGULL,UBZN7,RUS,Russia,8810190
440220000,ORION NO.1,D7NA,KOR,South Korea,8520496
636015529,PRINCE OF SOUNDS,A8OE6,LBR,Liberia,9053957
273395490,CRYSTAL ANTARCTIDA,UDWU,RUS,Russia,9073268
273397490,RETRIEVER,UBXG,RUS,Russia,9109500
354604000,FINO,3FTS4,PAN,Panama,9109500
273420160,LYRA,UBOR,RUS,Russia,7826154
273425770,KAPITAN SHCHERBAKOV,UBFQ,RUS,Russia,8422931
273430160,RUSTICA,UHCL,RUS,Russia,8520563
273440892,KATRAN,UERV,RUS,Russia,8727343
273441678,JUPITER,UDOW,RUS,Russia,7700116
273442580,ZARYA,UFCR,RUS,Russia,9012214
273816010,BEREG MECHTY,UIIC,RUS,Russia,8225711
273817020,ICEBERG,UBRG,RUS,Russia,8521804
273833000,DORIDA,UIEI,RUS,Russia,8623925
273895511,DRUZHBA,UHSV,RUS,Russia,8730089
529523000,SEA GLORY,T3DS2,KIR,Kiribati,9009695
277397000,CASSIOPEA,LYTA,LTU,Lithuania,9047269
306497000,NOVA ZEELANDIA,PJHA,CUW,Cura ao,8514784
370190000,SEA PEARL I,H8MF,PAN,Panama,9008639
312022000,FRIOCONFIDANZE,V3QW5,BLZ,Belize,7713242
312219000,REINA,V3ET2,BLZ,Belize,8202226
312273000,HAI FENG 678,V3PI,BLZ,Belize,9016961
312377000,OCEAN MARINER,V3LJ,BLZ,Belize,8217104
529844000,ZHONGZHOU1,T3TB2,KIR,Kiribati,9044358
376311000,APUS,J8UC8,VCT,Saint Vincent and the Grenadines,8604606
312844000,GLOBAL MARINER,V3KG3,BLZ,Belize,8813582
518332000,TOKACHIFROST,E5U2582,COK,Cook Islands,8503242
334567000,CHAINAVEEREEFER,HQXO6,HND,Honduras,7637591
567486000,KGOLDENSEA,HSB4828,THA,Thailand,7811501
529567000,YUN RUN,T3FN2,KIR,Kiribati,9003756
352533000,VIVA 106,3EGN7,PAN,Panama,8122385
354469000,HAI FENG 658,3EHB6,PAN,Panama,8710209
355199000,SALGIR,3FYM4,PAN,Panama,9142289
356126000,NORT,9LC2196,SLE,Sierra Leone,8138724
667006103,NORT,9LC2196,SLE,Sierra Leone,8138724
548003500,BERNADETTE MARIE,4DET2,PHL,Philippines,8500446
514266000,MINGFENG,XUDF5,KHM,Cambodia,8214827
357772000,ALCANTARACARRIER,3EUJ3,PAN,Panama,8609979
357788000,VICTORIA NO. 168,3FTI9,PAN,Panama,8808252
370866000,SEIWA,3FDT5,PAN,Panama,9021277
542156110,MINTAILENG,E6CH2,NIU,Niue,8627309
538002996,POHAH1,V7NP8,MHL,Marshall Islands,8714944
529086000,SHIN HO CHUN 102,T3LN,KIR,Kiribati,9262182
576397000,KAIHO MARU,YJQE4,VUT,Vanuatu,8909680
664090000,KAIHO MARU,S7OJ,SYC,Seychelles,8909680
514740000,HAIFENG66,XUEC2,KHM,Cambodia,7809390
515175000,NADIZ,XUFB6,KHM,Cambodia,9101871
515717000,RUI HANG,XUFX9,KHM,Cambodia,8426975
548308200,PRIMROSE 888,DUOZ2,PHL,Philippines,7046845
567006700,SILVERSEA3,HSB2233,THA,Thailand,7006376
567006701,SILVERSEA3,HSB2233,THA,Thailand,7006376
567175000,SILVER SEA 1,HSB2700,THA,Thailand,7727102
567183000,SILVER SEA 2,HSB2719,THA,Thailand,7727097
636017108,CHIKUMA,D5JI4,LBR,Liberia,9666493
636013649,HUMBOLDT BAY,A8OL4,LBR,Liberia,8907888
636015541,WATER PHOENIX,A8OE3,LBR,Liberia,9045168
,FRIOCANARIAS,,RUS,Russia,8502432
,SAPPORO,,KIR,Kiribati,8513039
,SILVERSTATT,,NOR,Norway,8911487
,TAI SHENG,,CHN,China,8310267
273299100,ANGRAPA,UARV,RUS,Russia,8721832
367402920,OCEAN MAID,WDE8215,USA,United States,7307550
677018800,WEN MING,5IM288,TZA,Tanzania,9216884
